Time slot,DQNAgent,DoubleDQN,DuelingDQN
522,428.8396842,267.0122356,337.0896222
523,326.622647,261.5302734,304.9509506
524,417.9001063,276.6522444,339.2235508
525,402.8330987,272.3991382,342.7281175
526,338.6693427,271.3575585,300.8194937
527,357.7530784,294.1144008,313.7806854
528,335.837393,269.9745445,332.4654962
529,414.0512075,268.5552478,278.9311598
530,368.141614,277.5705272,305.2677554
531,384.3736345,282.0811002,332.4489625
532,371.1156226,272.7015781,297.6217729
533,408.8729519,273.0321025,344.9437639
534,386.3601902,266.6331556,301.1046897
535,343.6402526,261.5054601,312.3057785
536,323.6833408,269.0671085,320.1787221
537,340.5517746,270.5922885,291.9177732
538,397.6061202,298.6479933,315.6845794
539,412.1704783,283.5421301,290.8899707
540,381.9400113,292.8119615,304.9740561
541,388.5384042,285.6210962,299.6634005
542,382.3612772,295.8006407,293.32296
543,388.373948,274.4921565,314.7265754
544,377.0256634,288.838718,307.75586
545,339.6990613,253.7400925,318.7008978
546,392.3927705,284.658972,300.1881981
547,358.3137808,271.5709071,349.6881859
548,387.1605018,290.7649114,321.1743655
549,345.4636274,286.3051134,341.7784544
550,389.6434855,273.3635971,334.2496478
551,344.7036774,285.1835113,315.2850733
552,371.4556256,270.8275691,312.3329546
553,398.293865,294.0941717,358.7787579
554,408.1806878,277.8718633,295.5824134
555,361.0738621,270.3955289,305.1280608
556,378.7159755,285.914661,312.6223623
557,419.7126692,291.4389057,324.2272595
558,422.05037,277.6304924,309.0878848
559,371.3976853,261.872486,312.3225221
560,402.0472929,275.7294947,298.8964992
561,409.8888146,282.8254522,344.2690421
562,314.4511767,293.3234831,312.1114867
563,385.9562177,283.8018011,302.3334948
564,353.7951503,262.8978369,310.9724217
565,361.7565174,301.2163427,296.4658992
566,340.3221317,284.1238406,342.7726068
567,391.4713615,268.4104727,291.1396584
568,357.059545,274.2818001,283.6838358
569,374.8752273,297.1984787,299.1479261
570,355.7980763,268.7188244,291.7371797
571,344.3286561,270.817647,319.3267585
572,383.8284646,296.5684697,329.2306353
573,328.1558065,284.7802923,303.420953
574,367.3144999,287.6888587,285.1052044
575,364.0327246,294.9858993,306.2588857
576,415.8439991,268.9203585,307.0268238
577,383.5896835,277.6775998,307.2895096
578,339.4647949,290.1258852,299.0964051
579,327.2853243,274.5898878,302.9813638
580,419.3684976,281.8438605,301.5465384
581,385.0116436,293.6389433,314.6493932
582,396.6838072,289.9650643,328.3492429
583,322.1938975,296.899246,304.3416581
584,337.9850798,317.9240464,319.3019832
585,337.2586223,294.6341052,322.1317393
586,380.329698,276.8741725,298.559922
587,313.9935349,286.4506112,301.3002998
588,335.6752689,290.4035654,316.0229591
589,338.4885281,283.2796011,332.638822
590,409.8785822,291.9108768,330.7467503
591,387.3240511,298.7952349,301.457414
592,411.3333485,297.132452,312.877193
593,360.4970066,278.0271861,310.2440479
594,307.7287512,279.7617424,325.3380375
595,335.4552006,290.0515635,296.9781981
596,358.6488296,306.5587738,295.1614311
597,355.1127678,290.1386134,322.4453057
598,313.5478193,294.9933079,299.2759474
599,406.4637981,282.5724076,308.2930405
600,355.4969083,274.7302248,314.654352
601,380.730201,289.6455393,301.2299693
602,297.9351227,275.8013214,292.8271044
603,318.5746854,291.9132548,295.9746956
604,324.4931426,278.4232512,278.7464653
605,323.8740124,294.045624,301.1418456
606,312.6552038,301.4296115,330.5795037
607,378.1796289,301.2137919,285.9073031
608,389.6817635,262.4091522,298.8027399
609,406.8621692,291.9732047,267.5236772
610,349.9283948,294.0825804,295.6847713
611,349.7109102,287.788744,293.0002445
612,308.4947852,292.5680437,308.2287016
613,363.9459483,284.1293408,288.6367044
614,300.6743641,308.7112725,291.0299199
615,334.3626483,287.6874364,313.907575
616,304.5275865,332.4406137,306.6119956
617,350.1760012,303.2409132,308.307373
618,332.5413573,297.6979993,307.1215402
619,321.6255112,301.5632736,317.5180377
620,367.6359116,290.3701522,317.2997484
621,363.7891122,310.0226677,330.72422
622,358.1092511,251.914349,250.8209829
623,328.8076905,305.0482639,335.5317472
624,292.9064034,294.9447909,328.3239663
625,382.2397828,283.1327912,332.9533435
626,389.1626995,300.4572835,304.5691712
627,307.328673,313.6463089,293.6382246
628,361.2048384,290.4423304,275.202819
629,324.62578,317.9849281,295.4068153
630,377.3016707,273.6486316,300.8923538
631,341.5958374,293.023424,321.2913452
632,330.4286148,315.1409155,301.0748647
633,360.4252927,297.9005755,331.5386351
634,387.9046354,295.7935594,297.7548067
635,321.6262275,319.4284804,295.5563607
636,307.7779686,301.9025944,300.9149866
637,345.6729665,311.0627805,320.3164815
638,315.7252822,303.0516198,304.5103478
639,370.4639562,280.4175884,280.1846815
640,378.3345799,298.5466624,309.9122477
641,333.7600243,291.4975349,293.8905242
642,321.2718456,279.6388595,276.0696451
643,386.0953101,298.5376453,300.0896389
644,331.8416753,316.6100295,296.0001096
645,319.5699397,309.2122475,279.9302389
646,336.1644191,283.8641816,285.1537441
647,347.2102882,287.2108877,313.3170293
648,339.986902,300.6082501,315.3849065
649,335.289067,293.0109927,296.3015602
650,374.1188866,307.9592698,307.5478468
651,335.8901708,318.3952882,312.2999689
652,304.5990538,314.7253215,287.5286209
653,302.1351608,294.8462893,329.5097175
654,358.1232032,304.4362827,301.4212332
655,318.1154594,288.1222144,281.7001359
656,366.9829028,299.2137755,299.7872384
657,310.7538028,304.9059174,293.1458272
658,292.3560586,311.6758842,319.8260029
659,340.289234,284.557719,271.8846761
660,320.1115812,296.4536221,297.1902518
661,294.4654757,322.9235982,307.1469665
662,349.276956,299.8641374,284.4306127
663,295.9105446,314.0187805,320.0474179
664,363.6960417,285.843486,288.3960217
665,292.7706073,296.0571428,280.0660015
666,341.9360227,319.5581143,319.5237515
667,349.5084997,304.7769486,288.8615645
668,274.7335609,304.1210243,309.3827948
669,355.031707,304.9666066,289.0672148
670,340.2601838,302.5786174,307.4463416
671,325.5685525,307.117296,314.7681721
672,313.5777474,321.7294252,288.1389861
673,353.9291093,294.1028329,285.8252414
674,316.3180501,322.3030525,330.3710656
675,337.8556598,301.6832902,299.1151209
676,311.049571,298.4356192,307.1503761
677,299.5565298,312.4604697,310.7371424
678,358.8845438,300.1558926,306.0288703
679,302.8957941,310.1015319,292.7921269
680,307.0955213,293.3422983,301.118982
681,305.5600111,313.0832797,309.4717187
682,316.6019601,310.0956353,308.5046468
683,312.8774426,320.5093814,286.4448586
684,297.6469194,304.9734528,271.9953911
685,310.9068177,284.8577281,288.9343963
686,281.949372,308.7036774,294.0250523
687,343.4470314,283.7904764,274.6811229
688,300.9686892,323.5981928,307.0177959
689,348.2357021,314.4041679,300.5221939
690,321.3696028,307.1179518,297.0956117
691,357.4303633,308.8771455,298.2705092
692,295.8120145,325.1246741,300.9278627
693,280.3368786,307.4161846,296.7557807
694,286.1303677,320.1086197,299.7530418
695,316.9521693,298.5149237,294.5565163
696,313.9673521,314.7605282,306.6444389
697,295.9079344,312.1238359,293.601958
698,312.5223021,321.1628028,287.7723839
699,335.7087353,315.771186,305.6211777
700,300.0982627,319.7594708,298.1715493
